question_id,query,difficulty,dataset,description ,plan,type,columns,evidence,response,agent_error,agent_time,planRecall,jaccard,planPrecision,precision,recall,execution_error
468,"What is the Simplified Chinese translation of the name of the set ""Eighth Edition""?",moderate,card_games,"retrieve sets, filter eigth edition,get value ,retrieve set translations, join ","{""plans"": [{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/card_games/sets""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""name"": ""Eighth Edition""}}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/card_games/set_translations""}},{""function"": ""http://127.0.0.1:5200/filter"",""filter_dict"": {""conditions"": {""language"": ""Chinese Simplified""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""code"", ""columns_right"": ""setCode"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-,Eighth Edition is the name of card set which refers to name = 'Eighth Edition'; Simplified Chinese refers to language = 'Chinese Simplified'; translation of the name refers to translation,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/set_translations'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'language': 'Simplified Chinese', 'setCode': 'Eighth Edition'}}}]}",0,18.560040950775143,0.2,0.1666666666666666,0.5,0.0,0.0,0
344,List all the mythic rarity print cards banned in gladiator format.,moderate,card_games,"retrieve cards, filter rarity mythic, retrieve legalities, filter format gladiator status banned, combine uuid, uuid","{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""rarity"": ""mythic""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/legalities'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""format"": ""gladiator"",""status"":""Banned""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'uuid', 'columns_right': 'uuid', 'type': 'equals','values': ['None']}}]}",-,-,mythic rarity printing refers to rarity = 'mythic'; card banned refers to status = 'Banned'; in gladiator format refers to format = 'gladiator';,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'rarity': 'mythic'}}}, {'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/legalities'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'format': 'gladiator', 'status': 'banned'}}}, {'function': 'combination', 'filter_dict': {'columns_left': 'uuid', 'columns_right': 'uuid', 'type': 'equals', 'values': ['None']}}]}",0,32.78460144996643,0.6,0.4285714285714285,0.6,0.2,0.2,0
340,Which are the cards that have incredibly powerful foils.,simple,card_games,retrieve cards filter cardKingdomFoilId empty cardKingdomId not empty,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/card_games/cards""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""cardKingdomFoilId"":""not empty"",""cardKingdomId"":""not empty""}}}]}",index,id,incredibly poweful foils refers to cardKingdomFoilId is not null AND cardKingdomId is not null,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'hasFoil': 1, 'rarity': ['Mythic', 'Rare']}}}]}",0,17.762577533721924,0.5,0.3333333333333333,0.5,0.0,0.0,1
341,What are the borderless cards available without powerful foils?,simple,card_games,retrieve cards filter cardKingdomFoilId empty cardKingdomId not empty borderColor` = 'borderless,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/card_games/cards""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""cardKingdomFoilId"":""not empty"",""cardKingdomId"":""not empty"",""borderColor"":""borderless""}}}]}",index,id,borderless' refers to borderColor; poweful foils refers to cardKingdomFoilId paired with cardKingdomId AND cardKingdomId is not null,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'borderColor': 'borderless'}}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'cardKingdomFoilId': None, 'hasFoil': 0}}}]}",0,24.212469339370728,0.5,0.25,0.3333333333333333,0.0,0.0,1
477,"Which of these artists have designed a card in the set Coldsnap, Jeremy Jarvis, Aaron Miller or Chippy?",challenging,card_games,"retrieve cards, filter artist Jeremy Jarvis, Aaron Miller or Chippy, retrieve sets, filter name Coldsnap, combine code setCode","{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""artist"": [""Jeremy Jarvis"",""Aaron Miller"",""Chippy""]}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/sets'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""name"": ""Coldsnap""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'setCode', 'columns_right': 'code', 'type': 'equals','values': ['None']}}]}",-,-,"card set Coldsnap refers to name = 'Coldsnap'; Jeremy Jarvis, Aaron Miller or Chippy are the name of artists which refers to artist IN ('Jeremy Jarvis', 'Aaron Miller','Chippy');","{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/card_games/cards'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'setCode': 'CSP'}}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'artist': ['Jeremy Jarvis', 'Aaron Miller', 'Chippy']}}}]}",0,22.492690801620483,0.2,0.1428571428571428,0.3333333333333333,0.0,0.0,1
806,Provide the eye colour of the superhero who has Karen Beecher-Duncan as their full name.,simple,superhero,"retriev superhero, filter name,get value, retrieve colr, join","{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""full_name"":""Karen Beecher-Duncan""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/colour""}} ,{""function"":'combination', 'filter_dict': {""columns_left"":""eye_colour_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}}]}",-,-,eye colour refers to colour.colour where eye_colour_id = colour.id; Karen Beecher-Duncan is the full name of superhero;,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'full_name': 'Karen Beecher-Duncan'}}}, {'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'combination', 'filter_dict': {'columns_left': 'link_to_member', 'columns_right': 'member_id', 'type': 'equals', 'values': ['None']}}]}",0,31.084258556365967,0.25,0.1666666666666666,0.3333333333333333,0.0,0.0,1
737,What is Copycat's race?,simple,superhero,"retrieve superhero, filter hero name, retrieve race join","{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""superhero_name"":""Copycat""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/race"",}},{""function"":'combination', 'filter_dict': {""columns_left"":""race_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}}]}",-,-,Copycat is the superhero_name;,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'first_name': 'Copycat'}}}, {'function': 'http://127.0.0.1:5200/returnResult', 'filter_dict': None}]}",0,15.799175024032593,0.0,0.0,0.0,0.0,0.0,0
773,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,challenging,superhero,"retrieve super heros, retrieve color, filter colour blond, combine id, hair colour id, retrieve colour, filter colour blue, combine eyecolour id, id","{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/superhero'}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/colour'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""colour"": ""Blond""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'hair_colour_id', 'columns_right': 'id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/superhero/colour'}},{""function"": ""http://127.0.0.1:5200/filter"", ""values"": {""conditions"": {""colour"": ""Blue""}}},{""function"":'combination', 'filter_dict':{'columns_left': 'eye_colour_id', 'columns_right': 'id', 'type': 'equals','values': ['None']}}]}",index,id,"which superhero refers to superhero_name; the same eyes, hair and skin colour refers to hair_colour_id = skin_colour_id AND hair_colour_id = eye_colour_id; publisher refers to publisher_name;","{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'eye_color': 'blue', 'hair_color': 'blond'}}}]}",0,16.42978811264038,0.0,0.0,0.0,0.0,0.0,1
751,List down at least five superpowers of male superheroes.,moderate,superhero,"retrieve heros, retrieve gender filter male, retrieve superpowers combine","{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/gender""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""gender"":""male""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""gender_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/hero_power""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""id"", ""columns_right"": ""hero_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superpower""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""power_id"", ""columns_right"": ""id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-,male refers to gender = 'Male'; superpowers refers to power_name;,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'gender': 'male'}}}, {'function': 'http://127.0.0.1:5200/filter', 'filter_dict': {'conditions': {'gender': 'male', 'superpowers_count': {'min': 5}}}}]}",0,21.68968677520752,0.125,0.1,0.3333333333333333,0.0,0.0,1
786,How many heroes have the highest attribute value in strength?,moderate,superhero,"retrieve heros, retrieve gender filter male, retriev attribute filter strength, retrieve hero_attriubute max, combine, count","{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/attribute"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""attribute_name"":""Strength""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/hero_attribute"",}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""attribute_value"":100}}},{""function"":'combination', 'filter_dict': {""columns_left"":""id"",""columns_right"":""attribute_id"",""type"":""equals"",""values"":[""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/superhero/superhero"",}},{""function"":'combination', 'filter_dict': {""columns_left"":""hero_id"",""columns_right"":""id"",""type"":""equals"",""values"":[""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":[""hero_id""]}}]}",-,-,highest attribute value in strength refers to MAX(attribute_value) WHERE attribute_name = 'Strength';,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve', 'filter_dict': {'product': 'http://127.0.0.1:5000/products/student_club/Member'}}, {'function': 'http://127.0.0.1:5200/max', 'filter_dict': {'columns': 'strength'}}, {'function': 'http://127.0.0.1:5200/count', 'filter_dict': {'columns': 'strength', 'value': 'highest_strength_value', 'unique': False}}]}",0,24.76499366760254,0.0,0.0,0.0,0.0,0.0,1
