,Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,CO2,Agriculture,AUT,Austria,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0051857141441771,0.0050285713156057,0.0051857141441771,0.0045571427154171,0.0040857141152286,0.0039285712866571,0.0053428569725726,0.0049238093533406,0.0066523808103451,0.009271428372296,0.0090095235818114,0.0074904758196846,0.0085904758482811,0.0087999996578091,0.010004761305424,0.0087476185623783,0.012728570829288,0.010999999142983,0.010999999142983,0.013095237238263,0.015714284000126,0.012047617619131,0.012047617619131,0.012047617619131,0.012047617619131,0.013619045904846,0.012047617619131,0.012047617619131,0.012047617619131,0.016238093809691,0.022523806954309,0.014352379525699,0.035304760483779,0.053952379537051,0.032999998578971,0.040857141152286,0.031428568002011,0.027761901621017,0.041904758480171,0.060342852005921,0.062857137721137,0.081138088991743,0.071499995353807,0.066419043629968,0.054109520188675,0.052852377331507,0.050233329769557,0.044890473025933,0.041962267753663,0.039930500380131
7,CO2,Agriculture,BEL,Belgium,0.041747618170914,0.041747618170914,0.041747618170914,0.041747618170914,0.037871427866798,0.042533332543952,0.03870952333421,0.033052380818793,0.030171428351531,0.03127142838048,0.032528571238,0.030799999780291,0.0293857140942,0.02749999980792,0.02687142837916,0.02687142757784,0.024985713177086,0.025142856005657,0.022523809243794,0.017809523241909,0.018333333051474,0.026190475624789,0.019904761337189,0.019904761337189,0.019904761337189,0.032476189912389,0.032476189912389,0.032476189912389,0.030380951817109,0.027761903910503,0.043476190201874,0.047666666394194,0.053952380681794,0.05866666668368,0.053952380681794,0.053952380681794,0.053952380681794,0.066523809256994,0.047666666394194,0.060238094969394,0.045047616198103,0.045047616198103,0.045047616198103,0.046619044483817,0.046619044483817,0.040333330196217,0.040333330196217,0.040333330196217,0.040333330196217,0.040333330196217,0.040333330196217,0.036457140005167,0.036142854348024,0.029611997259617
9,CO2,Agriculture,BGR,Bulgaria,0.91787139920468,0.91787139920468,0.91787139920468,0.91787139920468,0.93939996637607,0.97004283046405,0.92054282466805,0.81572855068807,0.82672854582973,0.88377139100468,0.93892853715534,1.1138285277133,1.0300713879681,1.0303856814353,0.87119998698988,0.8342714021162,0.76245711487336,0.74108568573107,0.8551713958551,0.74847140039104,0.70242854550571,0.57435712416021,0.5097714128679,0.49609999449767,0.61725713612677,0.34885714229263,0.43528570657929,0.36425713560772,0.31271428200761,0.23162856714807,0.40747142397907,0.41485713715053,0.36582856857843,0.37242856829282,0.38185713972158,0.38499999572151,0.38028571143586,0.38814285286443,0.31742856572001,0.44628570743674,0.52171428229577,0.53742856686739,0.69331428001324,0.60238094267765,0.87214284487323,0.69771427201245,0.90969997313181,0.84375235257352,0.7574285485955,0.84322854539246,0.87209044623759,0.84123806634168,0.79637416248775,0.79146046966093
22,CO2,Agriculture,CYP,Cyprus,0.042114285269023,0.042114285269023,0.042114285269023,0.042114285269023,0.010999999946063,0.040228570982743,0.028285713721829,0.013828570860349,0.010528570887977,0.0095857139165486,0.0081714282304571,0.0081714282304571,0.0081714282304571,0.013514285202678,0.014142856688587,0.013671428202873,0.013042856716787,0.017128570888461,0.015871428088266,0.016028571030784,0.015871428202037,0.01571428543079,0.019799999659965,0.016657142573666,0.016185713973478,0.015242856887575,0.016814285459387,0.011628571258589,0.01304285694468,0.01367142837344,0.010685714115713,0.010214285572849,0.0095857141442651,0.010371428457338,0.011785714143605,0.00628571428672,0.0091142855439006,0.004609523810144,0.0056571428004589,0.0040857141147006,0.0054999998577651,0.0061285711724029,0.0067571426011629,0.0031428568575263,0.00549999940022,0.0040857139429011,0.0045571424859406,0.0036142854000377,0.0058142853429326,0.0039285710573566,0.0056571424000629,0.0034571424000189,0.0035514280971617,0.0036492495079474
23,CO2,Agriculture,CZE,Czechia,1.6588617351826,1.6588617351826,1.6588617351826,1.6588617351826,1.3725128200829,1.4161240453382,1.5013395281502,1.5174268600265,1.71020756312,1.7274609335864,1.8294533335195,1.7851687296721,1.7037042074514,1.729142711331,1.6875328922542,1.6624734284132,1.1075035688327,0.81385808165554,1.0222221366929,1.1313463568185,0.96188753571342,0.52133817554027,0.50325670048447,0.49723935044543,0.13514285329057,0.17479522935943,0.25598569886103,0.21240475374472,0.23304284835247,0.19585237060749,0.28856665805605,0.30082379547565,0.27206665510357,0.24535236824753,0.2761523675147,0.23309522470329,0.19066665469028,0.22115236675201,0.16604761193722,0.1450952309809,0.24304760193766,0.20795235954321,0.20219046363755,0.29176187706273,0.33895711125264,0.28238567821769,0.28243806045628,0.29715712030143,0.19799997733,0.16405712561423,0.1489190249645,0.15897616633615,0.14714114654445,0.13589240844095
24,CO2,Agriculture,DEU,Germany,1.5579142726303,1.5579142726303,1.5579142726303,1.5579142726303,1.5434571341183,1.3305285324772,1.6114999112221,1.620142764504,1.5267999049865,1.593271337842,1.6259570465283,1.6327141856384,1.5761427673527,1.5239713471222,1.4763570702941,1.5085713491209,1.6166856141478,1.5637284734784,1.597357046119,1.6751427677831,0.45052851584337,0.51280947556747,0.44838090955446,0.41014281631054,0.55052375500139,0.4583332701927,0.29307137528571,0.30847137248571,0.34068565234286,0.36362850531429,0.45885705942857,0.44471420485714,0.44785706142857,0.483999912,1.2426856396779,1.2851142102606,0.82877134325053,0.87402848554888,1.009171305986,0.832857062975,1.06432846377,1.0800427683473,1.0598760887022,1.1039808505611,1.1969046309897,1.2637427324307,1.1919808372017,1.2335189649945,0.88560469458304,0.84024279465996,0.73427614127906,0.69457138182475,0.61926853837332,0.56596881844746
25,CO2,Agriculture,DNK,Denmark,0.0078571421154171,0.0078571421154171,0.0078571421154171,0.0078571421154171,0.0039285714011314,0.0072285711445543,0.010842856316171,0.0087999993157943,0.0092190467059017,0.0098476180201874,0.013147617305713,0.01361904590555,0.017076188134121,0.01676190236268,0.013723807638866,0.011942855657922,0.011314284457935,0.014142855486519,0.014457141372434,0.024304759277443,0.027133331221646,0.023833331478575,0.025142854859154,0.029857139716297,0.032476187621143,0.069666665242851,0.094809522957703,0.11209523753303,0.11523809467419,0.11523809467419,0.12833333306071,0.094809523532714,0.069666665244611,0.082238093819811,0.068095236387406,0.068095235815914,0.058561899906103,0.056361901906103,0.051857141436491,0.10999999430313,0.069666666392874,0.066523809249954,0.060238094964114,0.050809523533594,0.059452380708719,0.071761904491674,0.056257142581674,0.075585714102164,0.073699999816412,0.10916190467391,0.11450476181687,0.056099999868281,0.058708571325981,0.055817142776853
30,CO2,Agriculture,ESP,Spain and Andorra,1.1007856951282,1.1007856951282,1.1007856951282,1.1007856951282,0.94018569043593,1.1249856847146,1.1432142531536,0.99251425097054,1.1336285275014,1.1832856665828,1.1317428087302,1.1290713842029,1.035519006089,1.0199618622816,1.2131428078795,1.3199999422934,1.731399944654,1.7759761191367,1.7221285042913,1.6278951573129,1.5007142150523,1.4306808786317,1.1235713764362,1.2817618503368,1.3247142404445,1.5195713701436,1.5787618380733,1.3964761129098,1.4582856304341,1.5148570613032,1.4488570544493,1.4483332537836,1.4425713516021,1.5295237188315,1.373952306541,1.2492856472925,1.195333264912,1.1221570728686,0.99843327901418,1.0068665953555,1.0380856332613,0.76617612618622,1.0403380060654,1.1839665731163,1.1806665868223,1.0816665808003,1.2000475286222,1.4325665690702,1.1069142021836,1.1296475363141,1.3370237204788,0.97533326758589,0.91412554764763,0.88900607160522
31,CO2,Agriculture,EST,Estonia,0.076597197240257,0.076597197240257,0.076597197240257,0.076597197240257,0.083078498545202,0.083078498545202,0.087880553602957,0.098574700756116,0.10099045851523,0.10387758364198,0.10661740646634,0.10694147153159,0.10682362968968,0.11368791698083,0.11377629836226,0.11639827934471,0.12078788795579,0.12373393400349,0.11489579586039,0.093654803856453,0.087893158983607,0.08213151411076,0.076369869237914,0.080457142858752,0.068514284286927,0.059084934619375,0.053323289746529,0.044890474505474,0.053952378896091,0.04420952169589,0.051438092839388,0.058090472506398,0.059504757905688,0.052590472762755,0.056361900762592,0.052590471619597,0.031847618476765,0.027814284428986,0.063904758477091,0.079409519239181,0.05856190447733,0.060552380839294,0.059923809525008,0.06914285714776,0.07542857143536,0.09428571429464,0.0817142857212,0.0817142857212,0.085695238102232,0.085380952100434,0.086428571147194,0.071028571203507,0.071028571203507,0.071028571203507
33,CO2,Agriculture,FIN,Finland,,,,,,,,,,,0.011157140943046,0.01162856942876,0.010999998114474,0.0078571414285714,0.0070714272857143,,0.015714282857143,0.027342852171429,0.037085707542857,0.038499993,0.015085711542857,0.026557138257168,0.0015714282857143,,,,0.00209523809528,0.0099523806668343,,0.0015714282857143,0.0015714282857143,0.0015714282857143,0.0015714282857143,0.0015714282857143,0.0015714282857143,0.0015714282857143,0.0031428565714286,0.0031428565714286,,0.0015714282857143,0.0031428565714286,,,,,,,,,,,,,
