id,superhero_name,full_name,gender_id,eye_colour_id,hair_colour_id,skin_colour_id,race_id,publisher_id,alignment_id,height_cm,weight_kg,gender,hero_id,power_id,power_name
1,3-D Man,Charles Chandler,1,9,13,1,1.0,13.0,1.0,188.0,90.0,Male,1,1,Agility
1,3-D Man,Charles Chandler,1,9,13,1,1.0,13.0,1.0,188.0,90.0,Male,1,18,Super Strength
1,3-D Man,Charles Chandler,1,9,13,1,1.0,13.0,1.0,188.0,90.0,Male,1,26,Stamina
1,3-D Man,Charles Chandler,1,9,13,1,1.0,13.0,1.0,188.0,90.0,Male,1,31,Super Speed
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,2,Accelerated Healing
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,6,Durability
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,16,Longevity
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,18,Super Strength
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,26,Stamina
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,51,Camouflage
2,A-Bomb,Richard Milhouse Jones,1,33,1,1,24.0,13.0,1.0,203.0,441.0,Male,2,64,Self-Sustenance
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,1,Agility
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,2,Accelerated Healing
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,5,Cold Resistance
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,6,Durability
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,11,Underwater breathing
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,12,Marksmanship
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,13,Weapons Master
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,16,Longevity
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,17,Intelligence
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,18,Super Strength
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,20,Telepathy
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,26,Stamina
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,50,Immortality
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,60,Reflexes
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,88,Enhanced Sight
3,Abe Sapien,Abraham Sapien,1,7,1,7,33.0,3.0,1.0,191.0,65.0,Male,3,136,Sub-Mariner
4,Abin Sur,-,1,7,1,23,55.0,4.0,1.0,185.0,90.0,Male,4,3,Lantern Power Ring
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,2,Accelerated Healing
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,17,Intelligence
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,18,Super Strength
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,26,Stamina
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,31,Super Speed
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,61,Invulnerability
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,76,Animation
5,Abomination,Emil Blonsky,1,14,1,1,28.0,13.0,2.0,203.0,441.0,Male,5,142,Super Breath
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,4,Dimensional Awareness
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,9,Flight
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,17,Intelligence
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,18,Super Strength
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,24,Size Changing
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,31,Super Speed
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,38,Teleportation
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,42,Magic
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,46,Dimensional Travel
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,50,Immortality
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,61,Invulnerability
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,89,Molecular Manipulation
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,103,Energy Manipulation
6,Abraxas,Abraxas,1,7,4,1,12.0,13.0,2.0,0.0,0.0,Male,6,115,Power Cosmic
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,5,Cold Resistance
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,6,Durability
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,8,Energy Absorption
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,18,Super Strength
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,61,Invulnerability
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,72,Elemental Transmogrification
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,79,Fire Resistance
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,86,Natural Armor
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,89,Molecular Manipulation
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,104,Heat Resistance
7,Absorbing Man,,1,7,1,1,24.0,13.0,2.0,193.0,122.0,Male,7,147,Matter Absorption
8,Adam Monroe,-,1,7,6,1,1.0,15.0,1.0,0.0,0.0,Male,8,2,Accelerated Healing
8,Adam Monroe,-,1,7,6,1,1.0,15.0,1.0,0.0,0.0,Male,8,50,Immortality
8,Adam Monroe,-,1,7,6,1,1.0,15.0,1.0,0.0,0.0,Male,8,97,Regeneration
9,Adam Strange,Adam Strange,1,7,6,1,24.0,4.0,1.0,185.0,88.0,Male,9,6,Durability
9,Adam Strange,Adam Strange,1,7,6,1,24.0,4.0,1.0,185.0,88.0,Male,9,7,Stealth
9,Adam Strange,Adam Strange,1,7,6,1,24.0,4.0,1.0,185.0,88.0,Male,9,9,Flight
9,Adam Strange,Adam Strange,1,7,6,1,24.0,4.0,1.0,185.0,88.0,Male,9,12,Marksmanship
